"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"KLK15",1.37282560183721,121,8.32050183074277e-12,2.08766876978499e-10,"No"
"COLEC12",1.25704161481192,161,6.36868682506865e-08,5.11342565040457e-07,"No"
"BIRC5",1.0325438621567,277,8.63831769775688e-12,2.16147275434558e-10,"No"
"MAOA",1.01195170311896,291,6.68540033458218e-07,4.08686487655549e-06,"No"
"SREBF1",0.827953936096387,518,1.94258176682699e-06,1.05825226820346e-05,"No"
"FBP1",0.698544796687205,810,0.00101857095300386,0.00285021591934101,"No"
"CCT3",0.658026599445161,955,3.47505792353509e-13,1.33072134237509e-11,"No"
"ACSL1",0.644128322854054,999,0.000792419613505157,0.002287709287227,"No"
"SSR2",0.637636819173856,1032,1.75584248897566e-08,1.63217399000659e-07,"No"
"ANO7",0.623572706853982,1091,0.0240937087560681,0.0463893416399642,"No"
"SPPL2B",0.594962689945023,1200,1.20830967775807e-08,1.18279660096082e-07,"No"
"ANXA3",0.538892351055528,1486,0.0384521416338214,0.0699638229986435,"No"
"YIF1B",0.525880835581899,1555,1.63195676754502e-08,1.52789965740529e-07,"No"
"ZDHHC24",0.500074600423834,1710,2.88658402174152e-09,3.3777286189065e-08,"No"
"TSPAN17",0.489231953112574,1789,3.58077414817939e-09,4.08025081663411e-08,"No"
"WDR45",0.446592358549224,2081,2.44689175707126e-08,2.18557089656057e-07,"No"
"PHB2",0.402058083601992,2449,0.000158874805753116,0.000547238770862985,"No"
"VPS37B",0.398316975007063,2485,0.000280468580484263,0.000906091102073851,"No"
"CDC25C",0.388715030803413,2567,1.93238982622919e-07,1.35185877311001e-06,"No"
"HDAC1",0.381041294934784,2648,3.34673371079372e-05,0.000136210868897857,"No"
"RABGGTA",0.362657070535597,2810,7.17298188271185e-07,4.34710308791024e-06,"No"
"FAM53A",0.358907274421451,2856,1.54811002055752e-12,4.85039067504352e-11,"No"
"VPS54",0.335423422115469,3082,6.28788329958746e-05,0.000239379900688338,"No"
"ADPRHL1",0.334512905370958,3094,0.000455207641943857,0.00139206810442767,"No"
"PSEN2",0.303843792960127,3429,1.80478500247377e-06,9.91166652290614e-06,"No"
"SERINC2",0.29790742988198,3490,0.0966891191065234,0.154814467882167,"No"
"TRAM1L1",0.274891410098224,3780,0.074711874804062,0.123916017903477,"No"
"TRMT112",0.263005115341775,3932,0.00289183199130362,0.00722108040371182,"No"
"TNFRSF4",0.244973194071826,4193,0.0836650626569327,0.13674177116066,"No"
"CSE1L",0.232114910131637,4349,0.002566245087545,0.00649058886307075,"No"
"CORT",0.186097587363368,5021,0.000126019368816626,0.000446098796667536,"No"
