"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"COLEC12",1.52059597250391,81,2.02574850128982e-10,5.55887421063911e-09,"No"
"KLK15",1.23317296913689,141,6.5945021517542e-11,2.12781041010243e-09,"No"
"MAOA",0.90556984262629,320,1.9647837244073e-05,0.000117835130860294,"No"
"ANO7",0.891758373751159,338,0.00218053861217547,0.00708109839627807,"No"
"BIRC5",0.83565428715233,400,4.8369721976799e-08,6.39508274694709e-07,"No"
"ANXA3",0.739370198719751,538,0.00564497096040341,0.0160078898636729,"No"
"SREBF1",0.666185792873904,666,0.000209811001552866,0.000931433688711964,"No"
"FBP1",0.606607712680486,813,0.00569205391158813,0.016111226450282,"No"
"ACSL1",0.559165284640125,979,0.00484588044043883,0.0140613526356699,"No"
"CCT3",0.519488235882071,1138,3.34616028009296e-07,3.44789266297043e-06,"No"
"SSR2",0.49362201584177,1252,8.73056599369279e-05,0.000433687344384532,"No"
"CDC25C",0.406375197840428,1752,1.50503674586131e-07,1.70240885483264e-06,"No"
"VPS54",0.392293430791222,1843,6.3696510458989e-07,6.03920046449893e-06,"No"
"ZDHHC24",0.377936260279066,1946,1.24721811106628e-06,1.08927712527067e-05,"No"
"HDAC1",0.366995847752746,2040,0.000162806558002584,0.000746100891189442,"No"
"LPIN2",0.324973245449327,2432,0.000601687119086245,0.00232806138558482,"No"
"PSEN2",0.264011280115974,3082,0.0142834562613853,0.0353602161957379,"No"
"YIF1B",0.254820385415546,3232,0.0158557056504492,0.0386105561455844,"No"
"UBA6",0.250697041777643,3291,0.000842474108583562,0.00311507931132281,"No"
"CFAP97",0.249134718306204,3314,0.00357333050052735,0.0108514078690371,"No"
"PHB2",0.226132286111685,3659,0.0445179943608428,0.0921926454125706,"No"
"ADPRHL1",0.221412304436302,3723,0.0101464222714822,0.0263841836506935,"No"
"FAM53A",0.210365540440694,3893,1.26050893050327e-07,1.45479067544615e-06,"No"
"TSPAN17",0.210323510088228,3894,0.0142271970264172,0.0352401501475178,"No"
"SPPL2B",0.207705086513698,3932,0.0300685180889305,0.0662813614371449,"No"
"RABGGTA",0.204852766563766,3971,0.0159348410299015,0.038787662086184,"No"
"VPS37B",0.191745487744973,4163,0.0726388803138987,0.1373537940858,"No"
"SLC1A2",0.191647828901419,4166,0.11004663303448,0.191944996227016,"No"
"PBRM1",0.178251323792375,4383,0.0516726931974366,0.104113370078154,"No"
"CSE1L",0.169935223010537,4554,0.0753601404493531,0.141454051601875,"No"
"TMEM161B",0.148399756516717,4955,0.0649098262234498,0.125188650936956,"No"
"TRAM1L1",0.135045231531331,5224,0.367083443927386,0.48092008094511,"No"
"WDR45",0.132426273400788,5285,0.0306922586786469,0.067468002318042,"No"
"CORT",0.111964968485678,5744,0.0161374949277072,0.0391722401996316,"No"
"SMARCB1",0.101166296033278,6041,0.158644194592686,0.255060663684462,"No"
"TYROBP",0.096440871854905,6158,0.608553375232117,0.701550996864141,"No"
"KIF27",0.0932719445447953,6245,0.161860697688504,0.259096481888532,"No"
"FNDC3B",0.0850239126321006,6459,0.373278660438508,0.486859573917715,"No"
"TUBA1C",0.0838932397032139,6487,0.574782961939285,0.673863006556248,"No"
"LAPTM5",0.08307988983666,6518,0.676637353458865,0.759268278641901,"No"
"SERINC2",0.0796962017833005,6607,0.70911521546108,0.787039812647028,"No"
"SLC28A2",0.0539532005921156,7374,0.192873290571989,0.296023673245247,"No"
"DCSTAMP",0.0345991044287087,8087,0.772873839555672,0.836064203499573,"No"
"SLC13A5",0.0333510919484764,8139,0.288623060834988,0.403371145671513,"No"
"PATL1",0.0243831636085314,8533,0.735538799990975,0.807359386141151,"No"
"ADAMTS14",0.0122027747110544,9112,0.854814529124817,0.901355974929268,"No"
"HBS1L",0.00900048517614271,9293,0.888476065566454,0.926100588230743,"No"
"GLT6D1",0.00803237920858327,9365,0.793109597961349,0.85262332563415,"No"
"OTOG",0.00604862418738891,9465,0.496042479533524,0.602098161478746,"No"
"TAAR9",0.00561148946000236,9484,0.482457129796559,0.589583708933084,"No"
"REG3A",0.00378781798178932,9606,0.67294892796446,0.756444457305285,"No"
"PLXNC1",0.00131740838510397,9755,0.992271197267357,0.995596467740675,"No"
"GSX1",0.00130026403820281,9756,0.85425875084067,0.900964206592943,"No"
"FASLG",-0.00252723069219007,10018,0.967837326911694,0.980084334727568,"No"
"COL3A1",-0.00733068491121003,10246,0.974893389525674,0.984376261137424,"No"
"SEL1L2",-0.0213366243627667,10701,0.198431143582176,0.302407731066595,"No"
"SYT5",-0.0222559079331877,10730,0.541676948192979,0.643648838361699,"No"
"NR6A1",-0.0262606290124694,10848,0.720847391133935,0.79604338646438,"No"
"GABBR1",-0.0309979733354919,10977,0.853076546352426,0.900017440973414,"No"
"MYO15A",-0.0399109591373933,11196,0.65016281754239,0.7367430074022,"No"
"LEP",-0.0409443621370202,11218,0.290698075670761,0.405602771450046,"No"
"SYT15",-0.0488234098928775,11389,0.020261098306749,0.0474920144310197,"No"
"KIF6",-0.0533444859622701,11490,0.0187329598729434,0.0445131391827194,"No"
"SENP2",-0.0595013889242444,11622,0.390527069951127,0.503750248720597,"No"
"HTR1A",-0.084951878436625,12138,0.0415453553594042,0.0870588217163383,"No"
"TNFRSF4",-0.0871388751055163,12182,0.467904065644003,0.576267475016201,"No"
"HTR2A",-0.0974377736598957,12397,0.00841529463715928,0.022477906540014,"No"
"CFTR",-0.109431335740739,12636,0.509202053283857,0.614220750328987,"No"
