"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"HSPB1",0.66876650414638,68,0.00467622801536824,0.0525342294936848
"SPPL2B",0.387257603431335,678,0.000381352135756075,0.0111277624968741
"TNFRSF4",0.332112069177345,1060,0.0137900083021519,0.100881890931281
"TSPAN17",0.278908443024357,1568,0.000424938419371736,0.0118690368603417
"YIF1B",0.271060450166364,1655,0.00678402816493228,0.0661912230776251
"SERINC2",0.218211228098701,2363,0.212747299869553,0.453049070496285
"VPS37B",0.206571487262099,2542,0.0147243861816846,0.104435079914729
"BIRC5",0.196889575004372,2701,0.190367052317396,0.427954428227633
"PHB2",0.175925797490324,3043,0.145112718674434,0.371736599640285
"SREBF1",0.161768143222495,3313,0.363561124093822,0.601864387966751
"CAV3",0.158404300534377,3378,0.0661802670904233,0.245096749669954
"RABGGTA",0.157804303971842,3396,0.065691185694157,0.244146671225873
"IFITM2",0.148145139237873,3604,0.442444032228844,0.669160882325244
"TRAM1L1",0.139846178566899,3789,0.367038627751595,0.604455156984794
"KLK15",0.139652632700317,3796,0.489043093545102,0.708953674695372
"CST3",0.135736005019517,3892,0.301268353743501,0.546338629785817
"PHLDA1",0.128270855781025,4070,0.367109621113177,0.604470114374833
"ZDHHC24",0.122138340144775,4208,0.115546003439999,0.329651274171291
"MAOA",0.106381860492687,4577,0.629565825151944,0.809593729535415
"TFRC",0.096289376229227,4812,0.558142407997771,0.758543811241372
"GABBR1",0.0960016450306398,4819,0.579926642238222,0.774153754294475
"B2M",0.0949648472607372,4850,0.508596577566797,0.723561813272015
"NPHP1",0.0796181425651662,5281,0.190397199222969,0.427954428227633
"TYROBP",0.0758671805028071,5381,0.653469312170386,0.823983275597715
"CSE1L",0.0621796871211142,5781,0.481937981265522,0.703315722719761
"TUBA1C",0.0515240401112687,6135,0.73402044915852,0.87009159526652
"SMARCB1",0.0260247325452259,7090,0.698775134918701,0.850643043922935
"SEL1L2",0.0190917768599334,7411,0.14318734739323,0.369461480160022
"CES5A",0.0154746921148653,7576,0.609275021066496,0.794519332511542
"SYT5",0.0127619569626795,7703,0.780964761861345,0.896216595779656
"SENP2",0.00704884581268272,8015,0.923198894655094,0.965647858947813
"LEP",0.0064928238250637,8052,0.811301668181757,0.910694867200997
"INSIG1",0.0030293631410947,8263,0.984702811555655,0.993568617912458
"GSX1",0.000118496010966186,8485,0.984679202573098,0.993568617912458
"TAAR9",-0.00752840950464144,9176,0.280024330563027,0.526721371805095
"PRRG3",-0.00998441392327892,9407,0.69283776205847,0.848318635225348
"HTR1A",-0.0141581841647648,9785,0.152505697032541,0.381828613993067
"HTR2A",-0.0175198472700824,10047,0.514092179359839,0.726851535632057
"CDC25C",-0.0176601670370123,10060,0.830797036240518,0.920241857844238
"OTOG",-0.0193126962839247,10189,0.00989640909101021,0.0827736743889576
"KIF6",-0.0256411519294104,10685,0.122497247184299,0.339663163247814
"RNF217",-0.0267693442776644,10759,0.703990965553584,0.853451218991725
"LAPTM5",-0.0274463582793101,10811,0.876827687852827,0.941900110203328
"GLT6D1",-0.0330154582120854,11196,0.156720009839957,0.38707469169098
"FASLG",-0.0332770039716948,11212,0.594822515059938,0.784861519979766
"CDH22",-0.0363284823009691,11416,0.696971284386953,0.850020338634713
"EDNRB",-0.0420290460315251,11773,0.821935954081242,0.916391529255593
"SLC28A2",-0.0440402845434716,11890,0.258581005109322,0.502933631770449
"MRGPRF",-0.0555673788485977,12549,0.689780027587198,0.846082556313536
"VPS54",-0.056870008675741,12612,0.467529894652691,0.690577228561552
"CPAMD8",-0.0613477611505506,12829,0.715660644158801,0.86012059917421
"MYO15A",-0.0738003969546147,13389,0.3524689443942,0.591398016648191
"COL3A1",-0.0842507670724721,13813,0.725890096069022,0.865048209135744
"SLC13A5",-0.084956920462449,13834,0.487879739856907,0.707739182708188
"EPS8L3",-0.0951570710340405,14226,0.0544432818880075,0.219830996960264
"DCSTAMP",-0.100875525049961,14430,0.00849843190243889,0.075558849944932
"SLC1A2",-0.121126340796884,15103,0.279725222216141,0.526522921942396
"FBXL17",-0.128178034142112,15341,0.124605316183908,0.342229034841596
"PATL1",-0.132646358322825,15451,0.107969077659006,0.318309818335265
"EYA4",-0.16312273405351,16157,0.028928380007099,0.153570101014146
"HBS1L",-0.165615516591668,16211,0.0148191086704659,0.104841463239117
"LPIN2",-0.175173190370378,16370,0.0701767134978666,0.254197506536889
"SLC6A6",-0.179094935968245,16442,0.231410097956633,0.475229708754786
"SGK1",-0.189413776507983,16637,0.411607283316118,0.64313144666621
"ANXA3",-0.200477847664207,16785,0.323052099803585,0.566589503500278
"NHS",-0.214322762129543,16977,0.0140312516082317,0.101871571195377
"BTN3A2",-0.216355107029541,16999,0.111158324102773,0.323295101913088
"COLEC12",-0.26355435769199,17527,0.186223766930922,0.423313781797803
"CFTR",-0.266893357772339,17555,0.0369643792874555,0.1771083418914
"EDNRA",-0.270164045865285,17576,0.0952765128516957,0.298451068297131
"SYNE1",-0.304420253612895,17807,0.0194858909604887,0.122783118716082
"TSPAN11",-0.326710944739655,17907,0.00116923453096123,0.0219198877858134
