"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"HSPB1",0.304998938909817,112,0.0780322943372153,0.97196958734216,"Yes"
"MAOA",0.287814016861241,128,0.0963025360149652,0.97196958734216,"Yes"
"SREBF1",0.238889464495117,206,0.0621267366222708,0.97196958734216,"Yes"
"EDNRB",0.168263738378627,469,0.174649758219743,0.97196958734216,"Yes"
"KLK15",0.167554308256511,474,0.254439097228459,0.97196958734216,"Yes"
"INSIG1",0.157275688305221,559,0.195688751431336,0.97196958734216,"Yes"
"PHLDA1",0.131926120930878,876,0.200558590476152,0.97196958734216,"Yes"
"ZDHHC24",0.113645290075874,1253,0.0457919441197609,0.97196958734216,"Yes"
"VPS37B",0.110389426664887,1338,0.110286628827255,0.97196958734216,"Yes"
"CAV3",0.108691634990194,1386,0.068746379041162,0.97196958734216,"Yes"
"TFRC",0.0963908253768264,1757,0.402192523589908,0.97196958734216,"Yes"
"CPAMD8",0.0912709730029873,1970,0.474258665539983,0.97196958734216,"Yes"
"SGK1",0.0823074079913568,2364,0.634135945192209,0.985433361581401,"Yes"
"CSE1L",0.078450895795716,2539,0.194561823855104,0.97196958734216,"Yes"
"TSPAN17",0.0760382335714467,2650,0.214099227763559,0.97196958734216,"Yes"
"PHB2",0.0749496814092927,2723,0.366602687214707,0.97196958734216,"Yes"
"SERINC2",0.0542056951178225,3991,0.633952144525908,0.985433361581401,"No"
"YIF1B",0.0516900786653474,4167,0.461719596527271,0.97196958734216,"No"
"FBXL17",0.0474057307949178,4493,0.478232917270702,0.97196958734216,"No"
"RNF217",0.0448818264089386,4663,0.35416025731349,0.97196958734216,"No"
"TNFRSF4",0.0418431812649753,4900,0.681270203108978,0.987151709333159,"No"
"SENP2",0.0326140068476799,5670,0.528633361884697,0.973312852067474,"No"
"TRAM1L1",0.0276306133496569,6144,0.818830640346404,0.994053434164884,"No"
"VPS54",0.0248266129873622,6407,0.697111759628716,0.987151709333159,"No"
"HBS1L",0.0167351283799921,7178,0.725854595343377,0.988722427687616,"No"
"CES5A",0.0162377383390683,7226,0.225881822665923,0.97196958734216,"No"
"PATL1",0.0143511213230116,7425,0.841480706943325,0.995245270667715,"No"
"TUBA1C",0.0136947440524815,7498,0.901103441627021,0.99854018005281,"No"
"B2M",0.0118990377842483,7682,0.920122169430888,0.99954299627195,"No"
"EDNRA",0.00963446824313063,7903,0.939996379733714,0.99954299627195,"No"
"PRRG3",0.00545987041484221,8392,0.754787441114995,0.990191979852221,"No"
"CDH22",0.00538629298178722,8399,0.937914602397385,0.99954299627195,"No"
"LEP",0.00453036707517222,8502,0.855228069431445,0.99647254651972,"No"
"SPPL2B",-0.000707752696108788,9197,0.993533477939629,0.99981451838626,"No"
"GSX1",-0.00217097970245599,9409,0.678426221187609,0.987151709333159,"No"
"TAAR9",-0.00656451032661199,10091,0.223824868974165,0.97196958734216,"No"
"NPHP1",-0.00712755684796007,10173,0.860861908138192,0.996794844179341,"No"
"GLT6D1",-0.00838723263828461,10397,0.44280133070939,0.97196958734216,"No"
"SLC1A2",-0.0132251963012645,11264,0.839944587077929,0.995245270667715,"No"
"HTR1A",-0.013296702600754,11278,0.455548201817877,0.97196958734216,"No"
"RABGGTA",-0.0138324344293612,11397,0.8093047178257,0.993714391242088,"No"
"KIF6",-0.0162590488856312,11848,0.175768482091337,0.97196958734216,"No"
"SEL1L2",-0.0178053801746423,12107,0.270822089531819,0.97196958734216,"No"
"HTR2A",-0.0190598011881857,12306,0.43078815680027,0.97196958734216,"No"
"BIRC5",-0.0198918497070233,12438,0.873083462727667,0.996933934133807,"No"
"SLC28A2",-0.0205200077272351,12526,0.333665958793432,0.97196958734216,"No"
"EYA4",-0.0211919979252852,12614,0.692145063178219,0.987151709333159,"No"
"SYT5",-0.0221965790803452,12772,0.663140496971689,0.985433361581401,"No"
"IFITM2",-0.0244783495523659,13038,0.861555900654408,0.996794844179341,"No"
"OTOG",-0.0264328217816431,13268,0.143492504524611,0.97196958734216,"No"
"CST3",-0.0305110687368506,13748,0.797140096662512,0.993714391242088,"No"
"EPS8L3",-0.0440649833644857,14959,0.326416556279756,0.97196958734216,"No"
"MYO15A",-0.0477769906302224,15242,0.242444613728968,0.97196958734216,"No"
"SMARCB1",-0.0552968995623462,15671,0.248391446188899,0.97196958734216,"No"
"FASLG",-0.0558875946552806,15701,0.293870402020208,0.97196958734216,"No"
"LAPTM5",-0.0560701456351649,15715,0.684842685370015,0.987151709333159,"No"
"SLC6A6",-0.0568135000704566,15751,0.57956696969054,0.978378444627821,"No"
"NHS",-0.0582091443504109,15825,0.323651393948901,0.97196958734216,"No"
"CDC25C",-0.0682302858149317,16277,0.323272330167539,0.97196958734216,"No"
"LPIN2",-0.0720732791711982,16416,0.344451902873952,0.97196958734216,"No"
"SYNE1",-0.0729401901215387,16452,0.394442605623374,0.97196958734216,"No"
"CFTR",-0.0757058435172212,16542,0.456190240894812,0.97196958734216,"No"
"SLC13A5",-0.0774387347932727,16596,0.0651511839235171,0.97196958734216,"No"
"MRGPRF",-0.0890979467422239,16928,0.451666749808884,0.97196958734216,"No"
