"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"ATP1B1",0.312430090799008,107,0.0395903880284029,0.938054891599708
"PDK4",0.293716718469982,123,0.0927489576627027,0.961953958507263
"MAOB",0.267834640909499,153,0.186632378301568,0.961953958507263
"ACO2",0.203500992206617,312,0.013359676729978,0.768631951687148
"IDH1",0.190352130796289,366,0.122702303321488,0.961953958507263
"VDAC2",0.160251144461048,554,0.0363685674942369,0.924912010262299
"SLC25A4",0.160011758090113,556,0.0314949177754349,0.899604244252604
"POR",0.158702958111201,568,0.0251041659634676,0.843403251480126
"MDH2",0.145964076351656,695,0.0532443388548463,0.961137546427122
"DLD",0.141021092319702,754,0.0390758516060265,0.934183558921235
"NDUFS1",0.13853904886692,789,0.0258481974718383,0.845493436023088
"AFG3L2",0.135320584544748,841,0.0678848290566299,0.961953958507263
"ACAA2",0.134456075061874,853,0.26863305224686,0.961953958507263
"OPA1",0.128794004277141,942,0.0328593923008868,0.905798340597689
"ECHS1",0.12571818547216,999,0.208704740477139,0.961953958507263
"IDH3A",0.124562528609979,1021,0.0497246933892273,0.958910750271067
"CYC1",0.123642529451089,1041,0.169612485700113,0.961953958507263
"CYB5R3",0.122152073144628,1071,0.0858479812765356,0.961953958507263
"HSD17B10",0.118750424227363,1146,0.151669925935738,0.961953958507263
"MRPS30",0.112935035838488,1286,0.0354150421023783,0.919231625478351
"MFN2",0.111009005005963,1334,0.0337860473174374,0.910142923574761
"HADHA",0.107664516999936,1424,0.0362302048511818,0.924912010262299
"UQCRFS1",0.107084660178163,1444,0.135190702928169,0.961953958507263
"SLC25A12",0.105476372969633,1499,0.0517064420387118,0.960298373815857
"UQCR11",0.104575155257366,1523,0.274207846118616,0.961953958507263
"PDHX",0.10436161136491,1526,0.0657285726487132,0.961953958507263
"DLAT",0.103276895213546,1572,0.190716282827722,0.961953958507263
"VDAC1",0.101643190299119,1624,0.150952832424727,0.961953958507263
"NDUFS6",0.100672148248102,1656,0.301532351060034,0.961953958507263
"HADHB",0.0998105142255383,1686,0.144546920247772,0.961953958507263
"COX5A",0.0986188332671762,1717,0.246980647474428,0.961953958507263
"MRPL34",0.096516185767066,1791,0.210361530774885,0.961953958507263
