"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"COX6C",0.647784636196014,80,4.43513880429839e-06,0.000623205234908605,"Yes"
"NDUFS6",0.645055603547392,81,1.13742613820537e-05,0.00117518487373245,"Yes"
"UQCRQ",0.60109570858735,112,0.000130293899409092,0.00581926322862073,"Yes"
"NDUFAB1",0.589663063607334,119,1.96893337869458e-07,7.65014463569811e-05,"Yes"
"NDUFA1",0.587637564749033,120,6.23821077302114e-05,0.0036759160061541,"Yes"
"COX6A1",0.572947640171866,130,5.65624483551093e-05,0.00340120899853836,"Yes"
"UQCRH",0.567011564232149,134,6.11658955039394e-06,0.000781340848370951,"Yes"
"COX5B",0.524003806836907,200,3.68725385197344e-05,0.00254170060807543,"Yes"
"COX7C",0.518891805952397,208,0.000358402704919275,0.0107151263678566,"Yes"
"NDUFB7",0.507253315462664,221,0.00465988443761803,0.0525320533201596,"Yes"
"NDUFB2",0.501326433732888,235,5.85472554134322e-06,0.000762349087920333,"Yes"
"RHOT2",0.499054563173222,240,3.48505727058935e-05,0.00252617147264364,"Yes"
"COX17",0.498928295480159,241,0.000101181383093614,0.00499535222965148,"Yes"
"COX7B",0.494709453913789,253,0.000234463456413932,0.00836512491858065,"Yes"
"ECHS1",0.49379633384545,254,0.000544659114624246,0.0135919235612583,"Yes"
"NDUFB6",0.493152098988655,257,0.00232594715260002,0.0339361634477193,"Yes"
"TIMM8B",0.491597468809004,261,0.000211028765720218,0.00787815111902805,"Yes"
"NDUFB3",0.489076047888091,270,0.00013544176237746,0.00591893462523701,"Yes"
"UQCR11",0.479959205592606,294,6.60288638591407e-05,0.00385063186753388,"Yes"
"NDUFA2",0.466301994285879,333,0.00133840939690662,0.023969337699307,"Yes"
"NDUFA4",0.465006581056836,339,0.0018727440343658,0.0297214728720765,"Yes"
"CYC1",0.463342674563778,347,0.00147229546152888,0.0255505314066187,"Yes"
"NDUFV1",0.452674362933404,383,2.91310254256608e-06,0.000501775774701646,"Yes"
"UQCR10",0.452195580190982,385,0.000256454097722279,0.00885566541227387,"Yes"
"NDUFB1",0.444373822614338,416,0.00256521268137515,0.0358237183807417,"Yes"
"COX8A",0.430871121987837,457,0.00118510826285837,0.0220227595499836,"Yes"
"NDUFC2",0.428658689916518,468,4.87418028417428e-05,0.00313509335390886,"Yes"
"TIMM13",0.422543386633876,486,0.000821360275378105,0.0177980879600615,"Yes"
"NDUFB8",0.42009282053388,499,0.00027267032037583,0.00913920870147759,"Yes"
"GPX4",0.41269736917172,545,0.00371167747497424,0.04535198156211,"Yes"
"COX7A2",0.412319078345837,547,0.00370859718433717,0.0453446752117049,"Yes"
"HSD17B10",0.406904383782131,576,0.00425232035157921,0.049793035809165,"Yes"
"TIMM17A",0.404253355496877,584,0.000525439054639733,0.0134053005741676,"Yes"
"ETFB",0.394481978344703,634,0.000151453073428929,0.00633087709914472,"Yes"
"COX5A",0.393895767829528,638,0.0019942282261519,0.0306896099470233,"Yes"
"SDHA",0.393002899363127,642,9.04870130107044e-07,0.000236132323809505,"Yes"
"MRPL11",0.391978533496867,647,8.41888264764641e-05,0.00447608970089259,"Yes"
"UQCRFS1",0.390564097477062,653,0.000312323410653054,0.00990488149722108,"Yes"
"NDUFS8",0.39026220305979,654,0.0031890455428084,0.0410820133501277,"Yes"
"MDH2",0.389218650547887,662,0.0018558944075123,0.0295825681867602,"Yes"
"NDUFC1",0.388120140783144,670,0.000978242830096294,0.0196906817436924,"Yes"
"MRPS12",0.38701131427026,679,0.00245323088545896,0.0349829575212169,"Yes"
"LDHB",0.386663261767256,682,0.0538567178922997,0.218428211753694,"Yes"
"NDUFA6",0.382283836471633,710,0.000254208049049619,0.00881142017455294,"Yes"
"TIMM10",0.374964132016738,753,0.00543343722551359,0.057738567654716,"Yes"
"NDUFA8",0.374119129430896,758,0.00250544949201337,0.0353413481626319,"Yes"
"COX4I1",0.371596191501654,771,0.00306939204042163,0.0401637424085831,"Yes"
"NDUFS7",0.371475703948262,772,2.48605881175057e-06,0.0004452238854338,"Yes"
"ECI1",0.371103912824906,776,0.00224798239713764,0.033250116962359,"Yes"
"PMPCA",0.366297839082028,798,0.000151886971514505,0.00633451896953303,"Yes"
"UQCRB",0.364001036166611,817,0.00105939527819762,0.0206972979110545,"Yes"
"UQCRC1",0.351620120863363,906,0.00249704431453272,0.0352960014716087,"Yes"
"SUCLG1",0.350072176163531,918,0.000134053144267167,0.0058864153517508,"Yes"
"ATP6V0E1",0.348199875487479,927,0.00312100223572753,0.0405829407057409,"Yes"
"NDUFA3",0.3471317509961,937,0.00577276002038339,0.0601889311029357,"Yes"
"ACAT1",0.33976304656836,993,0.031447277570591,0.16062786642538,"Yes"
"ACAA2",0.33827290132146,1006,0.0316541581235942,0.161233688646453,"Yes"
"ATP6V0C",0.337604042471616,1011,0.000698797849566316,0.0161377248015523,"Yes"
"POR",0.337337067524187,1014,0.00726575781933008,0.0689107787343015,"Yes"
"SLC25A4",0.334865386386428,1033,0.00137121694072179,0.0241776253437886,"Yes"
"VDAC2",0.328167129347074,1089,0.00614259350003446,0.0626503380598155,"Yes"
"NDUFS4",0.324386572759099,1111,0.00239215614238069,0.034488963104079,"Yes"
"BAX",0.320501196447206,1142,0.00142414376152594,0.0249423145654787,"Yes"
"POLR2F",0.313438033004342,1202,0.000874689668525879,0.0185359120359191,"Yes"
"BCKDHA",0.311343448958745,1223,1.52910633735492e-05,0.00146853855465881,"Yes"
"ATP6V0B",0.309950826255383,1234,0.0113590694057269,0.0900981853384342,"Yes"
"ISCU",0.307731562366375,1255,3.84793826371873e-05,0.00263259506604307,"Yes"
"IDH3B",0.305652852671719,1275,0.000386931472324119,0.0111888435148221,"Yes"
"MRPL34",0.301829370824899,1312,0.00500123866899067,0.0547643605214869,"Yes"
