"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"TIMM13",0.9047269800625,408,2.96737489244034e-14,1.6276897833428e-12
"ATP6V1G1",0.900984024969112,414,1.50182952198725e-10,2.54239277559027e-09
"SLC25A6",0.888500336772507,433,1.1029284297376e-11,2.68192515463326e-10
"COX5A",0.812793658750738,540,1.63862287400981e-13,7.10289187433664e-12
"COX6A1",0.749902244252431,677,6.60829821286396e-09,6.96923644088759e-08
"ATP6AP1",0.730204368333091,717,9.22665464531015e-09,9.3518966902333e-08
"MDH2",0.712940760321645,765,1.0741737570034e-11,2.63014180233568e-10
"GPI",0.703732686042875,794,1.22714959486376e-10,2.15322905857651e-09
"DECR1",0.688907406014457,846,3.46224213976601e-11,7.25927897967024e-10
"AIFM1",0.688791893946621,848,2.60848756170908e-14,1.46155318411589e-12
"NDUFS6",0.680872542277599,872,9.05144847545581e-09,9.22106848035002e-08
"ATP6V0B",0.672907813297774,894,1.28705178557981e-07,9.44791143473464e-07
"HSD17B10",0.651867740730459,973,1.06179823741508e-08,1.06040495377933e-07
"RHOT2",0.643846254440259,1000,2.20178207830996e-09,2.6793971647175e-08
"LDHA",0.636478534244564,1039,4.27838478905177e-05,0.000169153628910865
"UQCRQ",0.629544822171754,1070,1.09348518226058e-05,5.03095032149609e-05
"TIMM8B",0.624854581061539,1088,3.08664606570494e-07,2.05145971598515e-06
"MRPL15",0.612681021311833,1144,1.49774499484721e-08,1.41457135862871e-07
"MRPS12",0.607068792921642,1159,9.27057551872462e-09,9.38671465770643e-08
"UQCRH",0.58577680080305,1243,9.59071437877495e-08,7.30237552491468e-07
"PMPCA",0.58497560760624,1246,8.38951198712912e-12,2.10209637800961e-10
"BAX",0.583399580481947,1256,3.60033424522275e-10,5.53100969917903e-09
"ALDH6A1",0.578773713611602,1279,7.95403572191817e-06,3.78059892002491e-05
"NDUFA8",0.553074182100488,1396,1.73500090242575e-08,1.61444352948083e-07
"MRPS15",0.528897065299138,1539,1.7997638414953e-08,1.6679089968926e-07
"NDUFAB1",0.525887648212222,1554,6.23397911666353e-09,6.62419212012659e-08
"COX17",0.524222762244118,1563,6.22323818644442e-06,3.03372481221227e-05
