"Gene","log2FC","rank","in_gene_set","background_pvalue","background_p.adjust"
"TOMM6",7.31234950634894,1,FALSE,0,0
"PYURF",5.55449269589027,2,FALSE,0,0
"ADIRF",4.65703953578037,3,FALSE,1.12042520801333e-218,1.7061274855023e-215
"TREX1",4.0407034798756,4,FALSE,0,0
"EVA1B",3.91628613828294,5,FALSE,8.68057885645578e-301,1.98275271805021e-297
"ZNF593",3.33491667719466,6,FALSE,2.19760399270186e-320,6.69280295977353e-317
"SERINC4",3.22549048767981,7,FALSE,0,0
"PGAM2",3.20954935417056,8,FALSE,2.4232057579746e-222,4.0253853468609e-219
"PTPRCAP",2.88916005078616,9,FALSE,7.98541643292328e-217,1.04226796056291e-213
"UTP14C",2.69320672378358,10,FALSE,0,0
"GP1BB",2.69166237706698,11,FALSE,7.03762310764888e-212,8.57323246973786e-209
"CPLX3",2.51499099124043,12,FALSE,5.19013913944258e-98,4.51616249976353e-95
"CMC4",2.4583546552001,13,FALSE,1.19058751471309e-310,3.10794366519318e-307
"ABHD16B",2.32399500439663,14,FALSE,7.00758932857692e-244,1.28049679801086e-240
"OVCA2",2.26923023973765,15,FALSE,2.45306894166652e-202,2.80155804819202e-199
"TNFRSF6B",2.04533313424358,16,FALSE,7.18357360896867e-182,7.29252447537137e-179
"NPFF",1.8573990012446,17,FALSE,2.45661158143265e-218,3.45305103288606e-215
"BOLA2",1.83971705165282,18,FALSE,1.92764092673741e-252,3.91375362825251e-249
"C19orf33",1.7829574615864,19,FALSE,1.09569071826122e-155,1.0537661313046e-152
"DND1",0.919802237776481,20,FALSE,7.34369085358764e-197,7.89360370397688e-194
"ACTA1",0.886699365658006,21,FALSE,0.00199862650076931,0.314835362487566
"AR",0.771203090379355,22,FALSE,8.40097698181967e-05,0.0274126879265698
"MYL2",0.707663968183056,23,FALSE,0.0102502299817165,0.703505939899855
"CKM",0.691263760002926,24,FALSE,0.00664280844442624,0.573301839771785
"PSCA",0.631998144473747,25,FALSE,0.0899576077339655,0.961953958507263
"MYL1",0.616659121859768,26,FALSE,0.0103936809763916,0.706036180229007
"ACTC1",0.580479184757506,27,FALSE,0.00212664092505671,0.323834246863011
"MYH7",0.563882165783533,28,FALSE,0.019549014983957,0.843403251480126
"CYP4F8",0.546193708123353,29,FALSE,0.0165055733770007,0.834475471687762
"CDR1",0.544522096749855,30,FALSE,2.44071933003244e-65,2.0272392871674e-62
"HSPB8",0.529500727522146,31,FALSE,0.00333822306017056,0.429572887172512
"MYBPC1",0.525411983452276,32,FALSE,0.0306867684708551,0.895749712888076
"AZGP1",0.507174253874588,33,FALSE,0.0985147057035471,0.961953958507263
"ORM2",0.501422274053989,34,FALSE,0.133061526348592,0.961953958507263
"FASN",0.494048182559196,35,FALSE,0.0066513429667607,0.573301839771785
"TCAP",0.490632958762512,36,FALSE,0.0369216018470291,0.925471098149195
"SLN",0.489709079060675,37,FALSE,0.0109369896966142,0.718890693259825
"FKBP5",0.485000129248039,38,FALSE,0.00056713011852063,0.136357482312204
"FAM43A",0.482955217229249,39,FALSE,0.000218182849326345,0.0604068970566713
"AQP3",0.482084236728054,40,FALSE,0.00538457122353497,0.531018418281672
"EEF1A2",0.471775994098919,41,FALSE,0.0782379746146497,0.961953958507263
"KLK3",0.467733102851883,42,FALSE,0.0289841700047719,0.880781500297829
"ANGPTL4",0.467649924482489,43,FALSE,0.00638677368687036,0.56476106314922
"PGC",0.46242406865821,44,FALSE,0.122391758555604,0.961953958507263
"DDIT4",0.460023427339347,45,FALSE,0.00116705552724551,0.222141725514137
"TUBA3D",0.457674968772285,46,FALSE,0.00267153706818793,0.387436482912683
"ORM1",0.453613818377293,47,FALSE,0.287630783758774,0.961953958507263
"PLPP1",0.443659348312544,48,FALSE,0.00706937911249324,0.592007835524094
"SDC1",0.442669561261718,49,FALSE,0.00558203966982474,0.541534656578743
"ICAM4",0.436165508530237,50,FALSE,4.29491842979236e-35,2.9067053506517e-32
"FLNC",0.430288938426924,51,FALSE,0.016719678457133,0.834475471687762
"SCNN1G",0.424837816718437,52,FALSE,0.011652722741939,0.744511198123957
"TNNC2",0.416374838016864,53,FALSE,0.0186265033131963,0.843403251480126
"CASQ1",0.416349018308795,54,FALSE,0.00369351558085339,0.451267833937165
"KRT19",0.415529269219574,55,FALSE,0.0843137202527687,0.961953958507263
"NRAP",0.409176086898443,56,FALSE,0.0148438019328764,0.81209818179476
"CSRP3",0.40851937063806,57,FALSE,0.0124899662541377,0.748745972802155
"G0S2",0.407951311761443,58,FALSE,0.00296596907510078,0.401902050028195
"MB",0.399098759220869,59,FALSE,0.0280724813544903,0.870745496251231
"KLHL41",0.394041454272761,60,FALSE,0.0170578551780804,0.834475471687762
"DES",0.393308833759418,61,FALSE,0.112886119278019,0.961953958507263
"SEMA3C",0.392325124785806,62,FALSE,0.011766947548615,0.745994515554242
"LDB3",0.387227000005579,63,FALSE,0.00721047106286552,0.592852442743202
"ACTN2",0.386439350812716,64,FALSE,0.0246572153972827,0.843403251480126
"F3",0.382337261305461,65,FALSE,0.148847364035847,0.961953958507263
"LRRC26",0.3796085078114,66,FALSE,0.147769539530024,0.961953958507263
"KLK2",0.379464647175928,67,FALSE,0.0402162047631663,0.939196719342794
"MYH2",0.379227784419558,68,FALSE,0.00546414473014616,0.533937522213694
"ARHGAP6",0.374622683025655,69,FALSE,0.00313403003135732,0.412000940740952
"FADS2",0.372064655216868,70,FALSE,0.0783304415729357,0.961953958507263
"CSRNP1",0.367542271717609,71,FALSE,0.00159051637675407,0.274789520563811
"TNNT3",0.364804190105831,72,FALSE,0.0202183548886263,0.843403251480126
"PROM2",0.360261675948947,73,FALSE,0.0127485222642632,0.753895622442984
"GMPR",0.36021706128781,74,FALSE,0.0311888563572019,0.898917937247872
"TNNI1",0.359974348436835,75,FALSE,0.0155113788117384,0.816828314198548
"XIRP2",0.357056577721289,76,FALSE,0.00368801922476048,0.451267833937165
"MYOZ1",0.355909026984282,77,FALSE,0.0230745583748339,0.843403251480126
