"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"ASCL2",0.15991333768896,558,0.283050246919976,0.961953958507263,"No"
"PHB2",0.064448165336743,3322,0.43604919010272,0.962613387123402,"No"
"EIF2AK2",0.0413453465287801,4879,0.580495138463505,0.974889403904491,"No"
"TNFRSF4",0.0116552169220652,7549,0.910601011064957,0.996396890482989,"No"
"LEP",0.00432627157318116,8319,0.866415413163571,0.994615736889418,"No"
"B2M",0.00326019359849994,8446,0.978428764277206,0.997885184331778,"No"
"VIP",-0.031224155036163,13666,0.627805960164443,0.978684211817327,"Yes"
"INS",-0.0317423266927824,13726,0.253242149308262,0.961953958507263,"Yes"
"REG3A",-0.0323121392661564,13786,0.19085344915004,0.961953958507263,"Yes"
"LAPTM5",-0.0590470195202633,15680,0.67416958013187,0.982229028624857,"Yes"
"ANXA3",-0.0857313980851266,16734,0.581184925854673,0.974889403904491,"Yes"
"TYROBP",-0.156924828877196,17829,0.270324270709583,0.961953958507263,"Yes"
