"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"TNFRSF4",0.332112069177345,1060,0.0137900083021519,0.100881890931281,"Yes"
"ASCL2",0.18560346520348,2886,0.353338579904548,0.592204407662756,"Yes"
"PHB2",0.175925797490324,3043,0.145112718674434,0.371736599640285,"Yes"
"B2M",0.0949648472607372,4850,0.508596577566797,0.723561813272015,"Yes"
"TYROBP",0.0758671805028071,5381,0.653469312170386,0.823983275597715,"Yes"
"VIP",0.0122458002233248,7740,0.866677952001492,0.937497469874143,"No"
"LEP",0.0064928238250637,8052,0.811301668181757,0.910694867200997,"No"
"INS",-0.000795733225926886,8564,0.907918143768203,0.956952324286755,"No"
"REG3A",-0.00941030408784036,9359,0.33038551376489,0.573465619530906,"No"
"LAPTM5",-0.0274463582793101,10811,0.876827687852827,0.941900110203328,"No"
"EIF2AK2",-0.190189254655432,16651,0.0656040077542838,0.244012625283695,"No"
"ANXA3",-0.200477847664207,16785,0.323052099803585,0.566589503500278,"No"
