"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"ASCL2",0.162333422164981,511,0.267486067434341,0.97196958734216,"No"
"PHB2",0.0749496814092927,2723,0.366602687214707,0.97196958734216,"No"
"TNFRSF4",0.0418431812649753,4900,0.681270203108978,0.987151709333159,"No"
"EIF2AK2",0.0195341159825007,6924,0.79404385997181,0.993714391242088,"No"
"B2M",0.0118990377842483,7682,0.920122169430888,0.99954299627195,"No"
"LEP",0.00453036707517222,8502,0.855228069431445,0.99647254651972,"No"
"VIP",-0.027129159250846,13356,0.666190369411034,0.985433361581401,"Yes"
"INS",-0.0288270678879338,13554,0.276301383863224,0.97196958734216,"Yes"
"REG3A",-0.030154720010228,13715,0.200896717529791,0.97196958734216,"Yes"
"LAPTM5",-0.0560701456351649,15715,0.684842685370015,0.987151709333159,"Yes"
"ANXA3",-0.0965408462338186,17090,0.528368371551338,0.973312852067474,"Yes"
"TYROBP",-0.134995146834068,17679,0.332516226084563,0.97196958734216,"Yes"
