"Gene","log2FC","rank","background_pvalue","background_p.adjust","是否为core gene"
"ANXA3",0.538892351055528,1486,0.0384521416338214,0.0699638229986435,"Yes"
"PHB2",0.402058083601992,2449,0.000158874805753116,0.000547238770862985,"Yes"
"TNFRSF4",0.244973194071826,4193,0.0836650626569327,0.13674177116066,"Yes"
"TYROBP",0.172308052357699,5249,0.376100142018955,0.476510036354182,"Yes"
"LAPTM5",0.0556335315573446,7414,0.77840247539528,0.836764337074517,"No"
"EIF2AK2",0.00764696396986686,8836,0.932014307311987,0.953036564780713,"No"
"INS",-0.000388418947660079,9310,0.943657960626868,0.96091293950331,"No"
"REG3A",-0.00562248610605108,9786,0.455617233175462,0.556415349413853,"No"
"VIP",-0.0197348106883576,10577,0.811872620644054,0.863042849833224,"No"
"LEP",-0.0344515383119566,11134,0.38882119400751,0.489875012397653,"No"
"B2M",-0.246242296570635,14713,0.101516074442552,0.161214798797396,"No"
"ASCL2",-0.70612246816444,17236,0.00020558687947365,0.000687397023698645,"No"
