"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"ANXA3",0.739370198719751,538,0.00564497096040341,0.0160078898636729
"PHB2",0.226132286111685,3659,0.0445179943608428,0.0921926454125706
"EIF2AK2",0.19783621862531,4078,0.0346357506134524,0.0747615310888756
"TYROBP",0.096440871854905,6158,0.608553375232117,0.701550996864141
"LAPTM5",0.08307988983666,6518,0.676637353458865,0.759268278641901
"REG3A",0.00378781798178932,9606,0.67294892796446,0.756444457305285
"INS",0.00040731427826681,9809,0.958127840058988,0.973889343247066
"VIP",-0.0319806109116818,11004,0.697870807342521,0.777237513713704
"LEP",-0.0409443621370202,11218,0.290698075670761,0.405602771450046
"TNFRSF4",-0.0871388751055163,12182,0.467904065644003,0.576267475016201
"B2M",-0.34120714383134,15457,0.0316950416850026,0.0693617789723837
"ASCL2",-0.891725933367918,17594,2.97415288736344e-07,3.10330047971535e-06
