"GSEA_ID","Description","background","background_label","Gene","log2FC","rank","core_enrichment","background_pvalue","background_p.adjust","setSize","enrichmentScore","NES","GSEA_pvalue","GSEA_p.adjust","qvalue","leading_edge","matched_genes"
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","FASN",2.30400633497224,28,TRUE,2.49299594139256e-16,2.86396628084758e-14,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ABCC4",1.91679239366796,42,TRUE,1.2630261128429e-09,1.64829967607792e-08,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","GCNT1",1.39187238420357,110,TRUE,9.92760610341402e-10,1.34324187470341e-08,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","SMPDL3B",1.29888636972905,139,TRUE,2.05515479872069e-13,8.60996732876885e-12,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","SAPCD2",1.26727338499734,154,TRUE,7.3337669806015e-12,1.88144083802903e-10,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","RALGAPA2",1.16571693416477,195,TRUE,8.14013515902755e-11,1.5203242210102e-09,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ENTPD5",1.09636548772797,235,TRUE,1.73963573109914e-05,7.61471034369923e-05,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","AR",1.06697119357047,250,TRUE,4.32418057594328e-06,2.17770836504494e-05,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ZNF350",1.0645349212725,253,TRUE,2.76619118400275e-09,3.25562166024447e-08,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","MAOA",1.01195170311896,291,TRUE,6.68540033458218e-07,4.08686487655549e-06,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","IMPDH2",0.996242314844194,306,TRUE,8.19148157710004e-12,2.06380141361806e-10,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","EMB",0.990946512884895,313,TRUE,2.36044696488152e-07,1.61181025272994e-06,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","TMTC4",0.990348404049193,315,TRUE,5.44213448143023e-12,1.44695820142365e-10,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","MEX3A",0.986918981390128,320,TRUE,8.11224709350438e-09,8.38112587160356e-08,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ADRA2A",0.976892999593293,327,TRUE,9.43048069381879e-06,4.41006554923948e-05,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","SLC12A8",0.963230223258821,337,TRUE,8.39821216264226e-13,2.86732230584717e-11,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","PLXNB3",0.938909484434097,362,TRUE,1.6068981263627e-09,2.03972211092016e-08,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ACACA",0.931686102656,370,TRUE,2.16143210094804e-11,4.89835220296735e-10,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","EEF2",0.929377574142737,374,TRUE,1.71944638386387e-14,1.02304259438624e-12,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","PLEKHH1",0.905193727915609,407,TRUE,2.75599899610367e-06,1.45200685499941e-05,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ACSL3",0.829451128915058,514,TRUE,3.80603588936024e-05,0.000152291460142506,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","MON1B",0.759318028561461,650,TRUE,7.83946175385243e-06,3.73002366230447e-05,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","TWNK",0.740061001006022,700,TRUE,2.373559593659e-11,5.28080871349273e-10,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ACLY",0.738701293462762,704,TRUE,2.1597833005826e-05,9.20271992193149e-05,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ANKRD13B",0.723432555686269,728,TRUE,4.0681752653716e-08,3.43071511529444e-07,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","FKBP4",0.697447264325727,813,TRUE,1.16891374258961e-09,1.54272965477903e-08,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ZBTB16",0.695827248047595,818,TRUE,0.00035920801318256,0.00112620898880753,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","P4HA1",0.690136599251226,838,TRUE,2.87542523403103e-06,1.5092677392187e-05,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","TRIM14",0.678087254287597,880,TRUE,8.25846547928607e-06,3.9120625115311e-05,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","MIA3",0.669481984042288,906,TRUE,7.48755717801311e-05,0.000279917559176397,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","MLEC",0.652498326804982,968,TRUE,1.62823166024019e-09,2.0639333453121e-08,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ATP13A2",0.648012397170922,987,TRUE,5.76552260952623e-09,6.18825402265121e-08,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","RORC",0.637796892111608,1030,TRUE,0.000297955021779892,0.000955689044413418,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ZKSCAN1",0.609010427312132,1151,TRUE,6.32922593900995e-07,3.89389157972232e-06,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","SLC26A1",0.60616752947374,1162,TRUE,6.3484263007694e-10,8.98917479146155e-09,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ZBTB45",0.598987800923178,1186,TRUE,7.41409676185131e-11,1.40047457551164e-09,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","ATP2C1",0.589295558920544,1228,TRUE,0.000364204291467248,0.00113913623081177,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","POLR3E",0.582637182356927,1258,TRUE,1.46747777589663e-14,8.84651783977814e-13,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","NEK6",0.576911581957241,1290,TRUE,0.000154588047745042,0.000533579984903805,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
"BB3_down","BB3_down","CRPCvsNormal","CRPC vs Normal","EARS2",0.563337474606665,1345,TRUE,1.51181365750286e-11,3.54490221668128e-10,268,0.355786149686685,1.43964805219559,0.000994354266213607,0.000994354266213607,NA,"tags=28%, list=18%, signal=23%",268
