"GSEA_ID","Description","background","background_label","Gene","log2FC","rank","core_enrichment","是否为core gene","background_pvalue","background_p.adjust","setSize","enrichmentScore","NES","GSEA_pvalue","GSEA_p.adjust","qvalue","leading_edge","matched_genes"
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","KLK15",1.37282560183721,121,FALSE,"No",8.32050183074277e-12,2.08766876978499e-10,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","COLEC12",1.25704161481192,161,FALSE,"No",6.36868682506865e-08,5.11342565040457e-07,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","BIRC5",1.0325438621567,277,FALSE,"No",8.63831769775688e-12,2.16147275434558e-10,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","MAOA",1.01195170311896,291,FALSE,"No",6.68540033458218e-07,4.08686487655549e-06,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","SREBF1",0.827953936096387,518,FALSE,"No",1.94258176682699e-06,1.05825226820346e-05,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","FBP1",0.698544796687205,810,FALSE,"No",0.00101857095300386,0.00285021591934101,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","CCT3",0.658026599445161,955,FALSE,"No",3.47505792353509e-13,1.33072134237509e-11,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","ACSL1",0.644128322854054,999,FALSE,"No",0.000792419613505157,0.002287709287227,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","SSR2",0.637636819173856,1032,FALSE,"No",1.75584248897566e-08,1.63217399000659e-07,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
"Denervation_1_5x_up_Aver","Denervation_1_5x_up_Aver","CRPCvsNormal","CRPC vs Normal","ANO7",0.623572706853982,1091,FALSE,"No",0.0240937087560681,0.0463893416399642,106,-0.273369410505584,-0.97827191886149,0.497216356306393,0.497216356306393,NA,"tags=28%, list=20%, signal=23%",106
